date,y,proba_cv
2012-12-27,0,
2012-12-28,1,
2012-12-31,1,
2013-01-02,1,
2013-01-03,1,
2013-01-04,0,
2013-01-07,0,
2013-01-08,1,
2013-01-09,1,
2013-01-10,1,
2013-01-11,0,
2013-01-14,1,
2013-01-15,1,
2013-01-16,1,
2013-01-17,1,
2013-01-18,1,
2013-01-21,0,
2013-01-22,1,
2013-01-23,1,
2013-01-24,1,
2013-01-25,0,
2013-01-28,1,
2013-01-29,0,
2013-01-30,0,
2013-01-31,1,
2013-02-01,0,
2013-02-04,1,
2013-02-05,0,
2013-02-06,1,
2013-02-07,1,
2013-02-08,1,
2013-02-11,0,
2013-02-12,0,
2013-02-13,1,
2013-02-14,1,
2013-02-15,1,
2013-02-19,0,
2013-02-20,0,
2013-02-21,1,
2013-02-22,0,
2013-02-25,1,
2013-02-26,1,
2013-02-27,1,
2013-02-28,0,
2013-03-01,1,
2013-03-04,1,
2013-03-05,1,
2013-03-06,0,
2013-03-07,1,
2013-03-08,0,
2013-03-11,0,
2013-03-12,1,
2013-03-13,1,
2013-03-14,0,
2013-03-15,0,
2013-03-18,1,
2013-03-19,1,
2013-03-20,0,
2013-03-21,1,
2013-03-22,0,
2013-03-25,1,
2013-03-26,0,
2013-03-27,1,
2013-03-28,0,
2013-04-01,1,
2013-04-02,0,
2013-04-03,1,
2013-04-04,1,
2013-04-05,1,
2013-04-08,1,
2013-04-09,1,
2013-04-10,0,
2013-04-11,0,
2013-04-12,0,
2013-04-15,1,
2013-04-16,0,
2013-04-17,0,
2013-04-18,1,
2013-04-19,1,
2013-04-22,1,
2013-04-23,1,
2013-04-24,0,
2013-04-25,0,
2013-04-26,1,
2013-04-29,0,
2013-04-30,0,
2013-05-01,1,
2013-05-02,1,
2013-05-03,0,
2013-05-06,1,
2013-05-07,1,
2013-05-08,0,
2013-05-09,1,
2013-05-10,0,
2013-05-13,1,
2013-05-14,1,
2013-05-15,0,
2013-05-16,1,
2013-05-17,1,
2013-05-21,1,
2013-05-22,0,
2013-05-23,1,
2013-05-24,1,
2013-05-27,1,
2013-05-28,0,
2013-05-29,1,
2013-05-30,0,
2013-05-31,0,
2013-06-03,1,
2013-06-04,0,
2013-06-05,0,
2013-06-06,1,
2013-06-07,0,
2013-06-10,0,
2013-06-11,0,
2013-06-12,1,
2013-06-13,0,
2013-06-14,1,
2013-06-17,1,
2013-06-18,0,
2013-06-19,0,
2013-06-20,1,
2013-06-21,0,
2013-06-24,1,
2013-06-25,1,
2013-06-26,1,
2013-06-27,1,
2013-06-28,1,
2013-07-02,1,
2013-07-03,1,
2013-07-04,0,
2013-07-05,1,
2013-07-08,1,
2013-07-09,0,
2013-07-10,1,
2013-07-11,1,
2013-07-12,1,
2013-07-15,0,
2013-07-16,1,
2013-07-17,1,
2013-07-18,0,
2013-07-19,1,
2013-07-22,0,
2013-07-23,0,
2013-07-24,0,
2013-07-25,1,
2013-07-26,0,
2013-07-29,1,
2013-07-30,0,
2013-07-31,1,
2013-08-01,1,
2013-08-02,0,
2013-08-06,1,
2013-08-07,0,
2013-08-08,0,
2013-08-09,0,
2013-08-12,1,
2013-08-13,0,
2013-08-14,0,
2013-08-15,1,
2013-08-16,0,
2013-08-19,1,
2013-08-20,1,
2013-08-21,1,
2013-08-22,1,
2013-08-23,0,
2013-08-26,0,
2013-08-27,1,
2013-08-28,1,
2013-08-29,0,
2013-08-30,1,
2013-09-03,1,
2013-09-04,1,
2013-09-05,0,
2013-09-06,1,
2013-09-09,1,
2013-09-10,0,
2013-09-11,0,
2013-09-12,1,
2013-09-13,1,
2013-09-16,1,
2013-09-17,1,
2013-09-18,1,
2013-09-19,0,
2013-09-20,0,
2013-09-23,0,
2013-09-24,0,
2013-09-25,1,
2013-09-26,0,
2013-09-27,0,
2013-09-30,1,
2013-10-01,1,
2013-10-02,0,
2013-10-03,1,
2013-10-04,0,
2013-10-07,0,
2013-10-08,1,
2013-10-09,1,
2013-10-10,1,
2013-10-11,1,
2013-10-15,1,
2013-10-16,1,
2013-10-17,1,
2013-10-18,0,
2013-10-21,1,
2013-10-22,1,
2013-10-23,1,
2013-10-24,1,
2013-10-25,1,
2013-10-28,1,
2013-10-29,0,
2013-10-30,0,
2013-10-31,0,
2013-11-01,1,
2013-11-04,1,
2013-11-05,0,
2013-11-06,0,
2013-11-07,1,
2013-11-08,1,
2013-11-11,0,
2013-11-12,1,
2013-11-13,1,
2013-11-14,1,
2013-11-15,0,
2013-11-18,1,
2013-11-19,0,
2013-11-20,1,
2013-11-21,1,
2013-11-22,1,
2013-11-25,0,
2013-11-26,1,
2013-11-27,1,
2013-11-28,0,
2013-11-29,0,
2013-12-02,0,
2013-12-03,1,
2013-12-04,0,
2013-12-05,1,
2013-12-06,1,
2013-12-09,0,
2013-12-10,0,
2013-12-11,1,
2013-12-12,0,
2013-12-13,1,
2013-12-16,0,
2013-12-17,1,
2013-12-18,0,
2013-12-19,1,
2013-12-20,0,
2013-12-23,1,
2013-12-24,1,
2013-12-27,0,
2013-12-30,1,
2013-12-31,0,
2014-01-02,0,
2014-01-03,0,
2014-01-06,1,
2014-01-07,1,
2014-01-08,1,
2014-01-09,1,
2014-01-10,0,
2014-01-13,1,
2014-01-14,1,
2014-01-15,0,
2014-01-16,1,
2014-01-17,0,
2014-01-20,1,
2014-01-21,1,
2014-01-22,0,
2014-01-23,0,
2014-01-24,1,
2014-01-27,1,
2014-01-28,0,
2014-01-29,1,
2014-01-30,0,
2014-01-31,0,
2014-02-03,1,
2014-02-04,1,
2014-02-05,1,
2014-02-06,1,
2014-02-07,1,
2014-02-10,1,
2014-02-11,0,
2014-02-12,1,
2014-02-13,1,
2014-02-14,0,
2014-02-18,1,
2014-02-19,1,
2014-02-20,1,
2014-02-21,0,
2014-02-24,0,
2014-02-25,1,
2014-02-26,1,
2014-02-27,0,
2014-02-28,0,
2014-03-03,1,
2014-03-04,0,
2014-03-05,0,
2014-03-06,1,
2014-03-07,1,
2014-03-10,0,
2014-03-11,0,
2014-03-12,0,
2014-03-13,1,
2014-03-14,1,
2014-03-17,1,
2014-03-18,1,
2014-03-19,1,
2014-03-20,0,
2014-03-21,0,
2014-03-24,1,
2014-03-25,0,
2014-03-26,0,
2014-03-27,1,
2014-03-28,1,
2014-03-31,1,
2014-04-01,1,
2014-04-02,0,
2014-04-03,0,
2014-04-04,0,
2014-04-07,0,
2014-04-08,1,
2014-04-09,0,
2014-04-10,0,
2014-04-11,1,
2014-04-14,1,
2014-04-15,1,
2014-04-16,1,
2014-04-17,1,
2014-04-21,1,
2014-04-22,0,
2014-04-23,1,
2014-04-24,0,
2014-04-25,0,
2014-04-28,1,
2014-04-29,1,
2014-04-30,0,
2014-05-01,1,
2014-05-02,0,
2014-05-05,0,
2014-05-06,1,
2014-05-07,0,
2014-05-08,1,
2014-05-09,1,
2014-05-12,1,
2014-05-13,0,
2014-05-14,0,
2014-05-15,1,
2014-05-16,1,
2014-05-20,1,
2014-05-21,1,
2014-05-22,1,
2014-05-23,0,
2014-05-26,1,
2014-05-27,1,
2014-05-28,1,
2014-05-29,1,
2014-05-30,1,
2014-06-02,1,
2014-06-03,1,
2014-06-04,1,
2014-06-05,1,
2014-06-06,0,
2014-06-09,0,
2014-06-10,0,
2014-06-11,0,
2014-06-12,1,
2014-06-13,1,
2014-06-16,1,
2014-06-17,1,
2014-06-18,0,
2014-06-19,0,
2014-06-20,0,
2014-06-23,0,
2014-06-24,1,
2014-06-25,0,
2014-06-26,0,
2014-06-27,1,
2014-06-30,1,
2014-07-02,1,
2014-07-03,1,
2014-07-04,0,
2014-07-07,0,
2014-07-08,1,
2014-07-09,0,
2014-07-10,1,
2014-07-11,1,
2014-07-14,1,
2014-07-15,1,
2014-07-16,0,
2014-07-17,1,
2014-07-18,0,
2014-07-21,1,
2014-07-22,1,
2014-07-23,1,
2014-07-24,0,
2014-07-25,0,
2014-07-28,1,
2014-07-29,1,
2014-07-30,0,
2014-07-31,0,
2014-08-01,1,
2014-08-05,0,
2014-08-06,0,
2014-08-07,1,
2014-08-08,0,
2014-08-11,0,
2014-08-12,1,
2014-08-13,1,
2014-08-14,0,
2014-08-15,1,
2014-08-18,1,
2014-08-19,1,
2014-08-20,1,
2014-08-21,0,
2014-08-22,1,
2014-08-25,0,
2014-08-26,0,
2014-08-27,0,
2014-08-28,1,
2014-08-29,1,
2014-09-02,0,
2014-09-03,0,
2014-09-04,1,
2014-09-05,1,
2014-09-08,0,
2014-09-09,0,
2014-09-10,1,
2014-09-11,0,
2014-09-12,0,
2014-09-15,1,
2014-09-16,1,
2014-09-17,0,
2014-09-18,0,
2014-09-19,0,
2014-09-22,0,
2014-09-23,1,
2014-09-24,0,
2014-09-25,1,
2014-09-26,0,
2014-09-29,1,
2014-09-30,0,
2014-10-01,0,
2014-10-02,1,
2014-10-03,0,
2014-10-06,0,
2014-10-07,1,
2014-10-08,0,
2014-10-09,0,
2014-10-10,0,
2014-10-14,0,
2014-10-15,0,
2014-10-16,1,
2014-10-17,1,
2014-10-20,1,
2014-10-21,0,
2014-10-22,1,
2014-10-23,1,
2014-10-24,0,
2014-10-27,1,
2014-10-28,1,
2014-10-29,1,
2014-10-30,1,
2014-10-31,1,
2014-11-03,1,
2014-11-04,1,
2014-11-05,1,
2014-11-06,0,
2014-11-07,1,
2014-11-10,0,
2014-11-11,0,
2014-11-12,1,
2014-11-13,0,
2014-11-14,1,
2014-11-17,1,
2014-11-18,1,
2014-11-19,0,
2014-11-20,0,
2014-11-21,1,
2014-11-24,0,
2014-11-25,1,
2014-11-26,1,
2014-11-27,1,
2014-11-28,0,
2014-12-01,1,
2014-12-02,1,
2014-12-03,0,
2014-12-04,1,
2014-12-05,0,
2014-12-08,0,
2014-12-09,0,
2014-12-10,1,
2014-12-11,0,
2014-12-12,1,
2014-12-15,0,
2014-12-16,1,
2014-12-17,1,
2014-12-18,1,
2014-12-19,1,
2014-12-22,1,
2014-12-23,0,
2014-12-24,1,
2014-12-29,0,
2014-12-30,0,
2014-12-31,1,
2015-01-02,0,
2015-01-05,0,
2015-01-06,1,
2015-01-07,1,
2015-01-08,0,
2015-01-09,0,
2015-01-12,0,
2015-01-13,0,
2015-01-14,0,
2015-01-15,1,
2015-01-16,0,
2015-01-19,1,
2015-01-20,1,
2015-01-21,1,
2015-01-22,0,
2015-01-23,1,
2015-01-26,0,
2015-01-27,0,
2015-01-28,1,
2015-01-29,0,
2015-01-30,1,
2015-02-02,1,
2015-02-03,1,
2015-02-04,1,
2015-02-05,1,
2015-02-06,0,
2015-02-09,1,0.32139745377368106
2015-02-10,1,0.3322480955187995
2015-02-11,0,0.38795961178557603
2015-02-12,1,0.3403930240929024
2015-02-13,0,0.34683892211246026
2015-02-17,1,0.2794731409813783
2015-02-18,1,0.365502288633561
2015-02-19,1,0.3633535375227442
2015-02-20,1,0.3194979855430451
2015-02-23,0,0.2812259001770567
2015-02-24,0,0.2637399309934319
2015-02-25,1,0.2606031488417504
2015-02-26,0,0.24781675003030174
2015-02-27,1,0.3209229082694579
2015-03-02,0,0.2812211432854849
2015-03-03,0,0.33907382004011855
2015-03-04,1,0.3251912094342559
2015-03-05,0,0.34375194987412433
2015-03-06,1,0.3589279625219508
2015-03-09,0,0.3940026599326139
2015-03-10,1,0.3878362732784652
2015-03-11,1,0.3258953953666803
2015-03-12,1,0.3835896356506804
2015-03-13,1,0.377131210152583
2015-03-16,0,0.3591051572271322
2015-03-17,0,0.3456786574777347
2015-03-18,1,0.36955373649613976
2015-03-19,0,0.3638321010257574
2015-03-20,0,0.4135080332706108
2015-03-23,0,0.523369869601124
2015-03-24,0,0.5253214547996448
2015-03-25,0,0.5167761409251296
2015-03-26,1,0.6130848703686073
2015-03-27,1,0.6130747205409469
2015-03-30,0,0.5614317959139682
2015-03-31,0,0.5913257726061343
2015-04-01,1,0.4260507394345872
2015-04-02,0,0.4001549855470552
2015-04-06,1,0.49324249001178727
2015-04-07,1,0.6612598796631733
2015-04-08,1,0.629180004577564
2015-04-09,1,0.6056071271521248
2015-04-10,0,0.6588636636993364
2015-04-13,0,0.6247086125296271
2015-04-14,0,0.5415965681334295
2015-04-15,0,0.6118686606413211
2015-04-16,0,0.6718213314334727
2015-04-17,1,0.7043441377530457
2015-04-20,1,0.7187167884966309
2015-04-21,1,0.7435652321168785
2015-04-22,0,0.6895372045110275
2015-04-23,1,0.6179822999151877
2015-04-24,0,0.5410551611630061
2015-04-27,0,0.6448619222683456
2015-04-28,0,0.6240079964694222
2015-04-29,0,0.6721303354412136
2015-04-30,1,0.719934366782649
2015-05-01,0,0.7020415338548827
2015-05-04,0,0.7418153671781118
2015-05-05,0,0.7428607932239417
2015-05-06,1,0.691173422086781
2015-05-07,1,0.6455755938605461
2015-05-08,0,0.7399051206327043
2015-05-11,0,0.7813593721598532
2015-05-12,0,0.7181774073654904
2015-05-13,1,0.6440668743168005
2015-05-14,1,0.7298644173541167
2015-05-15,1,0.777794495590658
2015-05-19,0,0.7167760241830456
2015-05-20,1,0.7191363345612956
