date,y,proba_cv
2019-10-01,0,
2019-10-02,0,
2019-10-03,0,
2019-10-04,1,
2019-10-07,0,
2019-10-08,0,
2019-10-09,0,
2019-10-10,1,
2019-10-11,0,
2019-10-15,0,
2019-10-16,0,
2019-10-17,0,
2019-10-18,0,
2019-10-21,0,
2019-10-22,1,
2019-10-23,0,
2019-10-24,1,
2019-10-25,1,
2019-10-28,0,
2019-10-29,0,
2019-10-30,1,
2019-10-31,1,
2019-11-01,1,
2019-11-04,0,
2019-11-05,1,
2019-11-06,0,
2019-11-07,0,
2019-11-08,0,
2019-11-11,1,
2019-11-12,0,
2019-11-13,0,
2019-11-14,0,
2019-11-15,1,
2019-11-18,1,
2019-11-19,1,
2019-11-20,0,
2019-11-21,0,
2019-11-22,0,
2019-11-25,1,
2019-11-26,0,
2019-11-27,0,
2019-11-28,0,
2019-11-29,1,
2019-12-02,0,
2019-12-03,1,
2019-12-04,0,
2019-12-05,1,
2019-12-06,0,
2019-12-09,0,
2019-12-10,0,
2019-12-11,0,
2019-12-12,0,
2019-12-13,0,
2019-12-16,0,
2019-12-17,0,
2019-12-18,1,
2019-12-19,1,
2019-12-20,0,
2019-12-23,1,
2019-12-24,1,
2019-12-27,0,
2019-12-30,0,
2019-12-31,1,
2020-01-02,0,
2020-01-03,0,
2020-01-06,1,
2020-01-07,1,
2020-01-08,1,
2020-01-09,0,
2020-01-10,1,
2020-01-13,1,
2020-01-14,0,
2020-01-15,1,
2020-01-16,1,
2020-01-17,1,
2020-01-20,0,
2020-01-21,1,
2020-01-22,0,
2020-01-23,0,
2020-01-24,0,
2020-01-27,1,
2020-01-28,1,
2020-01-29,0,
2020-01-30,0,
2020-01-31,1,
2020-02-03,1,
2020-02-04,1,
2020-02-05,1,
2020-02-06,0,
2020-02-07,1,
2020-02-10,1,
2020-02-11,1,
2020-02-12,0,
2020-02-13,0,
2020-02-14,0,
2020-02-18,1,
2020-02-19,0,
2020-02-20,0,
2020-02-21,0,
2020-02-24,0,
2020-02-25,0,
2020-02-26,0,
2020-02-27,0,
2020-02-28,1,
2020-03-02,0,
2020-03-03,1,
2020-03-04,0,
2020-03-05,0,
2020-03-06,0,
2020-03-09,1,
2020-03-10,0,
2020-03-11,0,
2020-03-12,1,
2020-03-13,0,
2020-03-16,1,
2020-03-17,0,
2020-03-18,1,
2020-03-19,0,
2020-03-20,0,
2020-03-23,1,
2020-03-24,1,
2020-03-25,1,
2020-03-26,0,
2020-03-27,1,
2020-03-30,0,
2020-03-31,0,
2020-04-01,1,
2020-04-02,0,
2020-04-03,1,
2020-04-06,0,
2020-04-07,1,
2020-04-08,1,
2020-04-09,0,
2020-04-13,1,
2020-04-14,0,
2020-04-15,1,
2020-04-16,1,
2020-04-17,0,
2020-04-20,0,
2020-04-21,1,
2020-04-22,0,
2020-04-23,1,
2020-04-24,1,
2020-04-27,1,
2020-04-28,1,
2020-04-29,0,
2020-04-30,0,
2020-05-01,1,
2020-05-04,1,
2020-05-05,0,
2020-05-06,1,
2020-05-07,1,
2020-05-08,1,
2020-05-11,0,
2020-05-12,0,
2020-05-13,0,
2020-05-14,1,
2020-05-15,1,
2020-05-19,1,
2020-05-20,0,
2020-05-21,1,
2020-05-22,1,
2020-05-25,0,
2020-05-26,1,
2020-05-27,1,
2020-05-28,0,
2020-05-29,0,
2020-06-01,1,
2020-06-02,1,
2020-06-03,0,
2020-06-04,1,
2020-06-05,1,
2020-06-08,0,
2020-06-09,0,
2020-06-10,0,
2020-06-11,1,
2020-06-12,1,
2020-06-15,1,
2020-06-16,0,
2020-06-17,1,
2020-06-18,0,
2020-06-19,1,
2020-06-22,1,
2020-06-23,0,
2020-06-24,1,
2020-06-25,0,
2020-06-26,1,
2020-06-29,1,
2020-06-30,1,
2020-07-02,0,
2020-07-03,1,
2020-07-06,0,
2020-07-07,1,
2020-07-08,0,
2020-07-09,1,
2020-07-10,0,
2020-07-13,1,
2020-07-14,1,
2020-07-15,0,
2020-07-16,1,
2020-07-17,1,
2020-07-20,0,
2020-07-21,1,
2020-07-22,0,
2020-07-23,0,
2020-07-24,1,
2020-07-27,0,
2020-07-28,1,
2020-07-29,1,
2020-07-30,0,
2020-07-31,1,
2020-08-04,1,
2020-08-05,1,
2020-08-06,1,
2020-08-07,1,
2020-08-10,0,
2020-08-11,1,
2020-08-12,0,
2020-08-13,1,
2020-08-14,1,
2020-08-17,0,
2020-08-18,0,
2020-08-19,0,
2020-08-20,0,
2020-08-21,1,
2020-08-24,1,
2020-08-25,1,
2020-08-26,0,
2020-08-27,1,
2020-08-28,0,
2020-08-31,1,
2020-09-01,1,
2020-09-02,0,
2020-09-03,0,
2020-09-04,0,
2020-09-08,1,
2020-09-09,0,
2020-09-10,1,
2020-09-11,1,
2020-09-14,1,
2020-09-15,0,
2020-09-16,0,
2020-09-17,0,
2020-09-18,0,
2020-09-21,1,
2020-09-22,0,
2020-09-23,0,
2020-09-24,1,
2020-09-25,1,
2020-09-28,0,
2020-09-29,0,0.5046429629730387
2020-09-30,1,0.5012491895483187
2020-10-01,0,0.4437116456507887
2020-10-02,1,0.45973079887949597
2020-10-05,0,0.38012691380477825
2020-10-06,1,0.4898541191259001
2020-10-07,1,0.35697311605869037
2020-10-08,1,0.4133905503263279
2020-10-09,1,0.4116262314302925
2020-10-13,0,0.44583024160508894
2020-10-14,1,0.48356278182580187
2020-10-15,0,0.4565562562729787
2020-10-16,0,0.4564720725776524
2020-10-19,0,0.5278129516369409
2020-10-20,0,0.46798613041431153
2020-10-21,1,0.4376603385564703
2020-10-22,1,0.45508113946536155
2020-10-23,0,0.4760843767202824
2020-10-26,0,0.5370112321043577
2020-10-27,0,0.5021745170555089
2020-10-28,1,0.5734459712927676
2020-10-29,0,0.4145786823668204
2020-10-30,1,0.5323857967256436
2020-11-02,1,0.3808934262515924
2020-11-03,1,0.3518110147629329
2020-11-04,1,0.36467757393955014
2020-11-05,0,0.3715655112586391
2020-11-06,1,0.4678654915901957
2020-11-09,1,0.34042759961729785
2020-11-10,1,0.4480623892251966
2020-11-11,0,0.3954275166089022
2020-11-12,1,0.5241458152359939
2020-11-13,1,0.38221884258504324
2020-11-16,0,0.3896791802262494
2020-11-17,0,0.5032408244588017
2020-11-18,1,0.575147507970851
2020-11-19,0,0.5165804210382817
2020-11-20,1,0.5554352277597081
2020-11-23,1,0.5411890032830331
2020-11-24,0,0.49531868911444515
2020-11-25,1,0.5675721700385737
2020-11-26,1,0.4859170105457429
2020-11-27,0,0.5383781841183507
2020-11-30,1,0.6458996079038889
2020-12-01,1,0.5030882255568401
2020-12-02,0,0.5381904507456489
2020-12-03,1,0.5310875452151026
2020-12-04,0,0.5167429827182314
2020-12-07,1,0.49965639436711357
2020-12-08,0,0.5062210068151107
2020-12-09,0,0.5545371111589936
2020-12-10,0,0.5473601889456051
2020-12-11,0,0.5437710654660559
2020-12-14,1,0.5170642917223814
2020-12-15,1,0.4848385309377327
2020-12-16,1,0.4792732800098721
2020-12-17,1,0.4724425714653388
2020-12-18,0,0.4795354800633527
2020-12-21,1,0.5095434503659436
2020-12-22,1,0.4866872719345229
2020-12-23,0,0.5062680571799315
2020-12-24,1,0.5089796367153352
2020-12-29,0,0.46545065992979323
2020-12-30,0,0.4661086550842646
2020-12-31,0,0.458085073429025
2021-01-04,1,0.43565069542732193
2021-01-05,1,0.4480783579264891
2021-01-06,1,0.42615190696955124
2021-01-07,1,0.3724436401715128
2021-01-08,0,0.4326430710317645
2021-01-11,0,0.45902407277367563
2021-01-12,0,0.46547629639423005
2021-01-13,0,0.4885246129123944
2021-01-14,0,0.47182508216312047
2021-01-15,1,0.48603520936723393
2021-01-18,0,0.4093041184694526
2021-01-19,1,0.47123399213873424
2021-01-20,0,0.4260689213755146
2021-01-21,1,0.524494728077916
2021-01-22,1,0.48586381547646534
2021-01-25,0,0.4568956882085686
2021-01-26,0,0.5327112896110042
2021-01-27,1,0.567809546986073
2021-01-28,0,0.4165168216462551
2021-01-29,1,0.5648639291633122
2021-02-01,1,0.3710677067965257
2021-02-02,1,0.4600512820867218
2021-02-03,1,0.4946367490576316
2021-02-04,1,0.43526331023852044
2021-02-05,1,0.48406163274921576
2021-02-08,1,0.4790771663939527
2021-02-09,1,0.5002680891143447
2021-02-10,1,0.48070226351696443
2021-02-11,1,0.497779596910064
2021-02-12,1,0.44952675746803256
2021-02-16,0,0.5096664912455872
2021-02-17,0,0.5495529161315286
2021-02-18,0,0.5662655159430664
2021-02-19,0,0.5521936694788364
2021-02-22,0,0.5693373689300971
2021-02-23,1,0.5524527005896579
2021-02-24,0,0.5200271997023753
2021-02-25,1,0.5973395568000656
2021-02-26,1,0.44244623883207496
2021-03-01,0,0.4494586999628754
2021-03-02,0,0.5074527451585084
2021-03-03,0,0.5079154676329898
2021-03-04,1,0.49201745510325895
2021-03-05,0,0.35797664838755816
2021-03-08,1,0.44801254625987097
2021-03-09,1,0.392299840206252
2021-03-10,1,0.4388425742254484
2021-03-11,0,0.3801640620949138
2021-03-12,1,0.46103712942885655
2021-03-15,0,0.4438314354786311
2021-03-16,1,0.49578364357281735
2021-03-17,0,0.44999267699774315
